9,Which company developed the iOS operating system?,Google,Microsoft,Apple,IBM,Apple
10,What does VR stand for?,Virtual Reality,Virtual Resource,Virtual Response,Virtual Router,Virtual Reality
10,What is the main purpose of a firewall?,To connect networks,To protect against malware,To provide WiFi,To display web pages,To protect against malware
10,What does SSL stand for?,Secure Socket Layer,Secure Software Layer,Secure System Link,Secure System Layer,Secure Socket Layer
10,Which of the following is a relational database management system?,MySQL,NoSQL,HDFS,XML,MySQL
10,Which of these programming languages is primarily used for scientific computing?,JavaScript,Fortran,Swift,PHP,Fortran
11,What does AI stand for?,Automated Interface,Advanced Integration,Artificial Intelligence,Automated Intelligence,Artificial Intelligence
11,What is the main programming language used in Apple's development environment?,Java,Objective-C,Swift,C#,Swift
11,Which of these is a front-end web development framework?,Django,Laravel,React,Flask,React
11,Which company developed the video game console 'PlayStation'?,Nintendo,Sony,Microsoft,Sega,Sony
11,What is the purpose of an API?,To secure data,To provide a user interface,To allow different systems to communicate,To manage databases,To allow different systems to communicate
12,What does HTTP stand for?,HyperText Transfer Protocol,HyperText Transmission Protocol,HyperText Transfer Program,HyperText Transmission Program,HyperText Transfer Protocol
12,What is the primary language used for Android app development?,Swift,Kotlin,Java,C#,Java
12,What technology is primarily used to create web applications?,HTML,JavaScript,CSS,Python,JavaScript
12,What does DNS stand for?,Dynamic Name System,Dynamic Network Service,Domain Name System,Domain Network Service,Domain Name System
12,Which language is primarily used for statistical analysis?,Python,Java,R,Ruby,R
13,What is the main purpose of a database index?,To store data,To ensure data integrity,To speed up query processing,To maintain database connections,To speed up query processing
13,What does JSON stand for?,JavaScript Object Notation,Java Standard Output Notation,JavaScript Oriented Notation,Java Serialized Object Notation,JavaScript Object Notation
13,What is the key component of a computer's operating system that manages hardware and software resources?,Kernel,BIOS,Cache,Firmware,Kernel
13,What does SaaS stand for?,Software as a Service,Storage as a Service,Security as a Service,Support as a Service,Software as a Service
13,Which database model uses tables to organize data?,Hierarchical,Network,Relational,Object-oriented,Relational
